id,name,path_with_namespace,html_url,description,stars,forks,updated_at
4887759,chromium_src_test_wenyu,OpenHarmony-TPC / chromium_src_test_wenyu,https://gitcode.com/openharmony-tpc/chromium_src_test_wenyu,chromium_src_test_wenyu,0,0,2025-03-18T10:35:43.387+08:00
4760370,Rxohos,OpenHarmony-TPC / Rxohos,https://gitcode.com/openharmony-tpc/Rxohos,,0,0,2025-02-22T23:44:53.339+08:00
4760285,EasyFonts,OpenHarmony-TPC / EasyFonts,https://gitcode.com/openharmony-tpc/EasyFonts,,0,0,2025-02-22T23:36:32.082+08:00
4539522,.gitcode,OpenHarmony-TPC / .gitcode,https://gitcode.com/openharmony-tpc/.gitcode,,1,0,2025-01-03T10:15:17.691+08:00
4509515,arkweb-agreements,OpenHarmony-TPC / arkweb-agreements,https://gitcode.com/openharmony-tpc/arkweb-agreements,ArkWeb 项目群迁移公告,5,0,2025-07-17T14:28:07.659+08:00
4371899,paddle_lite,OpenHarmony-TPC / paddle_lite,https://gitcode.com/openharmony-tpc/paddle_lite,,1,0,2025-02-22T23:36:03.620+08:00
4371896,ncnn,OpenHarmony-TPC / ncnn,https://gitcode.com/openharmony-tpc/ncnn,,0,0,2025-02-22T23:31:01.492+08:00
4371889,mnn,OpenHarmony-TPC / mnn,https://gitcode.com/openharmony-tpc/mnn,,0,0,2025-02-22T23:30:42.476+08:00
4371882,ohos_mpchart,OpenHarmony-TPC / ohos_mpchart,https://gitcode.com/openharmony-tpc/ohos_mpchart,,9,27,2025-02-22T23:20:22.076+08:00
4371863,ohos_mail_base,OpenHarmony-TPC / ohos_mail_base,https://gitcode.com/openharmony-tpc/ohos_mail_base,ohos_mail_base是专为OpenHarmony系统开发的标准邮件协议 SDK，采用纯TypeScript语言实现。本仓库包含标准邮件协议 SDK 源码和相关使用说明文档。,0,1,2025-02-22T23:20:17.974+08:00
4371849,ai_framework_integration,OpenHarmony-TPC / ai_framework_integration,https://gitcode.com/openharmony-tpc/ai_framework_integration,,0,0,2025-02-22T23:26:46.493+08:00
4371843,talkweb_mqtt,OpenHarmony-TPC / talkweb_mqtt,https://gitcode.com/openharmony-tpc/talkweb_mqtt,MQTT（Message Queuing Telemetry Transport，消息队列遥测传输协议），是一种基于发布/订阅（publish/subscribe）模式的轻量级协议，该协议构建于TCP/IP协议之上，MQTT最大优点在于可以以极少的代码和有限的带宽，为连接远程设备提供实时可靠的消息服务。作为一种低开销、低带宽占用的即时通讯协议，使其在物联网、小型设备、移动应用等方面有较广泛的应用。,1,1,2025-02-22T23:40:24.211+08:00
4371840,talkweb_iiot,OpenHarmony-TPC / talkweb_iiot,https://gitcode.com/openharmony-tpc/talkweb_iiot,拓维工业物联网平台，支持OPC-UA/DA、Modbus、SIEMENS、ABB等工业协议，支持鸿蒙设备接入...,0,0,2025-02-22T23:40:12.797+08:00
4371835,talkweb_link_sdk,OpenHarmony-TPC / talkweb_link_sdk,https://gitcode.com/openharmony-tpc/talkweb_link_sdk,TLink SDK（原名为Talkweb Link Kit SDK）是拓维物联网平台提供的设备端软件开发工具包，可简化开发过程，实现设备快速接入拓维物联网平台。设备厂商获取SDK后，根据需要选择相应功能进行移植，即可快速集成TLink SDK，实现设备的接入、认证、数据采集等。TLink SDK可运行在OpenHarmony系统上,0,0,2025-02-22T23:40:18.518+08:00
4371831,talkweb_edge,OpenHarmony-TPC / talkweb_edge,https://gitcode.com/openharmony-tpc/talkweb_edge,边缘计算作为联接物理和数字世界的桥梁，聚焦于万物智能联接，满足工业互联网在敏捷联接、实时业务、数据优化、应用智能、安全与隐私保护等方面的需求。边缘计算同时作为一种分散式运算架构，通过就近提供计算、存储、分析、传输等关键能力，解决了数据延迟、带宽消耗、弱网络的难题,0,0,2025-02-22T23:40:07.216+08:00
4371827,shineweng-datasphere,OpenHarmony-TPC / shineweng-datasphere,https://gitcode.com/openharmony-tpc/shineweng-datasphere,,0,0,2025-02-22T23:38:31.148+08:00
4371823,device_soc_amlogic,OpenHarmony-TPC / device_soc_amlogic,https://gitcode.com/openharmony-tpc/device_soc_amlogic,,0,0,2025-02-22T23:14:20.652+08:00
4371819,device_board_amlogic,OpenHarmony-TPC / device_board_amlogic,https://gitcode.com/openharmony-tpc/device_board_amlogic,,0,0,2025-02-22T23:28:13.408+08:00
4371815,vendor_amlogic,OpenHarmony-TPC / vendor_amlogic,https://gitcode.com/openharmony-tpc/vendor_amlogic,,0,0,2025-02-22T23:34:42.341+08:00
4371792,chromium_cef,OpenHarmony-TPC / chromium_cef,https://gitcode.com/openharmony-tpc/chromium_cef,Cef是chromium项目的一个分支，抽离webkite和内核层，提供content层上的API接口，把复杂的底层接口进行封装，更加友好的给用户使用，多数用于客户端的开发，通过内置页面实现快速开发客户端界面的效果,22,219,2025-02-11T18:09:17.513+08:00
4371737,chromium_src,OpenHarmony-TPC / chromium_src,https://gitcode.com/openharmony-tpc/chromium_src,chromium src主仓,52,623,2025-03-24T15:37:24.465+08:00
4371663,chromium_third_party_ohos_prebuilts,OpenHarmony-TPC / chromium_third_party_ohos_prebuilts,https://gitcode.com/openharmony-tpc/chromium_third_party_ohos_prebuilts,ohos预编译,0,9,2025-02-11T17:58:23.597+08:00
4371625,chromium_third_party_ohos_nweb_hap,OpenHarmony-TPC / chromium_third_party_ohos_nweb_hap,https://gitcode.com/openharmony-tpc/chromium_third_party_ohos_nweb_hap,ohos nweb hap包,4,17,2025-02-11T17:57:07.857+08:00
4371602,chromium_chrome,OpenHarmony-TPC / chromium_chrome,https://gitcode.com/openharmony-tpc/chromium_chrome,Chromium 浏览器实现,9,110,2025-05-13T17:09:41.170+08:00
4371549,chromium_third_party,OpenHarmony-TPC / chromium_third_party,https://gitcode.com/openharmony-tpc/chromium_third_party,chromium第三方库,9,223,2025-04-08T15:47:01.251+08:00
4371440,chromium_third_party_blink_webtests,OpenHarmony-TPC / chromium_third_party_blink_webtests,https://gitcode.com/openharmony-tpc/chromium_third_party_blink_webtests,chromium第三方库blink_webtests,0,12,2025-06-11T10:11:37.232+08:00
4371366,chromium_third_party_vulkan_deps,OpenHarmony-TPC / chromium_third_party_vulkan_deps,https://gitcode.com/openharmony-tpc/chromium_third_party_vulkan_deps,第三方软件vulkan-deps,0,4,2025-02-17T14:44:51.768+08:00
4371361,chromium_third_party_vulkan_deps_glslang,OpenHarmony-TPC / chromium_third_party_vulkan_deps_glslang,https://gitcode.com/openharmony-tpc/chromium_third_party_vulkan_deps_glslang,第三方软件vulkan-deps-glslang,0,4,2025-02-17T14:44:38.802+08:00
4371354,chromium_third_party_vulkan_deps_spirv_cross,OpenHarmony-TPC / chromium_third_party_vulkan_deps_spirv_cross,https://gitcode.com/openharmony-tpc/chromium_third_party_vulkan_deps_spirv_cross,第三方软件vulkan-deps-spirv_cross,0,4,2025-02-17T14:44:24.898+08:00
4371348,chromium_third_party_vulkan_deps_spirv_headers,OpenHarmony-TPC / chromium_third_party_vulkan_deps_spirv_headers,https://gitcode.com/openharmony-tpc/chromium_third_party_vulkan_deps_spirv_headers,第三方软件vulkan-deps-spirv_headers,0,3,2025-02-17T14:44:10.812+08:00
4371342,chromium_third_party_vulkan_deps_spirv_tools,OpenHarmony-TPC / chromium_third_party_vulkan_deps_spirv_tools,https://gitcode.com/openharmony-tpc/chromium_third_party_vulkan_deps_spirv_tools,第三方软件vulkan-deps-spirv_tools,0,3,2025-02-17T14:43:57.971+08:00
4371337,chromium_third_party_vulkan_deps_vulkan_headers,OpenHarmony-TPC / chromium_third_party_vulkan_deps_vulkan_headers,https://gitcode.com/openharmony-tpc/chromium_third_party_vulkan_deps_vulkan_headers,第三方软件vulkan-deps-vulkan_headers,0,6,2025-02-11T17:39:19.275+08:00
4371331,chromium_third_party_vulkan_deps_vulkan_loader,OpenHarmony-TPC / chromium_third_party_vulkan_deps_vulkan_loader,https://gitcode.com/openharmony-tpc/chromium_third_party_vulkan_deps_vulkan_loader,第三方软件vulkan-deps-vulkan_loader,0,4,2025-02-17T14:43:31.667+08:00
4371323,chromium_third_party_vulkan_deps_vulkan_tools,OpenHarmony-TPC / chromium_third_party_vulkan_deps_vulkan_tools,https://gitcode.com/openharmony-tpc/chromium_third_party_vulkan_deps_vulkan_tools,第三方软件vulkan-deps-vulkan_tools,0,4,2025-02-17T14:43:18.248+08:00
4371317,chromium_third_party_vulkan_deps_vulkan_validation_layers,OpenHarmony-TPC / chromium_third_party_vulkan_deps_vulkan_validation_layers,https://gitcode.com/openharmony-tpc/chromium_third_party_vulkan_deps_vulkan_validation_layers,第三方软件vulkan-deps-vulkan_validation_layers,0,4,2025-02-17T14:43:05.104+08:00
4371311,chromium_third_party_openscreen_tinycbor,OpenHarmony-TPC / chromium_third_party_openscreen_tinycbor,https://gitcode.com/openharmony-tpc/chromium_third_party_openscreen_tinycbor,第三方软件openscreen-tinycbor,0,4,2025-02-17T14:42:51.749+08:00
4371303,chromium_third_party_dawn_tint,OpenHarmony-TPC / chromium_third_party_dawn_tint,https://gitcode.com/openharmony-tpc/chromium_third_party_dawn_tint,Dawn-tint三方库,0,2,2025-02-17T14:42:38.287+08:00
4371294,chromium_third_party_skia,OpenHarmony-TPC / chromium_third_party_skia,https://gitcode.com/openharmony-tpc/chromium_third_party_skia,skia是个2D向量图形处理函数库，包含字型、坐标转换，以及点阵图都有高效能且简洁的表现,3,33,2025-06-11T10:11:38.416+08:00
4371282,chromium_third_party_angle_glmark2,OpenHarmony-TPC / chromium_third_party_angle_glmark2,https://gitcode.com/openharmony-tpc/chromium_third_party_angle_glmark2,第三方软件angle底层的图形渲染引擎的一部分，包含glmark2,0,7,2025-02-17T14:42:04.760+08:00
4371275,chromium_third_party_smhasher,OpenHarmony-TPC / chromium_third_party_smhasher,https://gitcode.com/openharmony-tpc/chromium_third_party_smhasher,第三方软件smhasher,0,4,2025-02-17T14:41:51.495+08:00
4371267,chromium_third_party_angle_rapidjson,OpenHarmony-TPC / chromium_third_party_angle_rapidjson,https://gitcode.com/openharmony-tpc/chromium_third_party_angle_rapidjson,第三方软件angle底层的图形渲染引擎的一部分，包含rapidjson,0,6,2025-02-17T14:41:38.050+08:00
4371261,chromium_third_party_snappy,OpenHarmony-TPC / chromium_third_party_snappy,https://gitcode.com/openharmony-tpc/chromium_third_party_snappy,第三方软件snappy,0,4,2025-02-17T14:41:24.823+08:00
4371253,chromium_third_party_angle_vk_gl_cts,OpenHarmony-TPC / chromium_third_party_angle_vk_gl_cts,https://gitcode.com/openharmony-tpc/chromium_third_party_angle_vk_gl_cts,第三方软件angle底层的图形渲染引擎的一部分，包含vk_gl_cts,0,6,2025-02-17T14:41:11.331+08:00
4371240,chromium_third_party_libprotobuf_mutator,OpenHarmony-TPC / chromium_third_party_libprotobuf_mutator,https://gitcode.com/openharmony-tpc/chromium_third_party_libprotobuf_mutator,第三方软件libprotobuf-mutator,0,4,2025-02-17T14:40:57.107+08:00
4371234,chromium_third_party_harfbuzz_ng,OpenHarmony-TPC / chromium_third_party_harfbuzz_ng,https://gitcode.com/openharmony-tpc/chromium_third_party_harfbuzz_ng,第三方软件harfbuzz-ng,0,7,2025-02-11T17:35:09.276+08:00
4371226,chromium_third_party_sqlite,OpenHarmony-TPC / chromium_third_party_sqlite,https://gitcode.com/openharmony-tpc/chromium_third_party_sqlite,第三方软件sqlite,0,14,2025-02-17T14:40:30.345+08:00
4371216,chromium_buildtools_libcpp,OpenHarmony-TPC / chromium_buildtools_libcpp,https://gitcode.com/openharmony-tpc/chromium_buildtools_libcpp,Chromium 编译库,0,3,2025-02-17T14:40:16.580+08:00
4371207,chromium_third_party_libsrtp,OpenHarmony-TPC / chromium_third_party_libsrtp,https://gitcode.com/openharmony-tpc/chromium_third_party_libsrtp,第三方如软件libsrtp,0,4,2025-02-17T14:40:00.438+08:00
4371196,chromium_third_party_devtools_frontend,OpenHarmony-TPC / chromium_third_party_devtools_frontend,https://gitcode.com/openharmony-tpc/chromium_third_party_devtools_frontend,调试器前端,0,13,2025-06-11T10:11:37.711+08:00
4371178,chromium_third_party_highway,OpenHarmony-TPC / chromium_third_party_highway,https://gitcode.com/openharmony-tpc/chromium_third_party_highway,第三方软件highway,0,4,2025-02-17T14:39:27.486+08:00
4371167,chromium_third_party_swiftshader,OpenHarmony-TPC / chromium_third_party_swiftshader,https://gitcode.com/openharmony-tpc/chromium_third_party_swiftshader,第三方软件swiftshader,0,9,2025-02-17T14:39:14.059+08:00
4371154,chromium_buildtools_libcppapi,OpenHarmony-TPC / chromium_buildtools_libcppapi,https://gitcode.com/openharmony-tpc/chromium_buildtools_libcppapi,Chromium 编译库API,0,1,2025-02-17T14:38:58.781+08:00
4370448,chromium_v8,OpenHarmony-TPC / chromium_v8,https://gitcode.com/openharmony-tpc/chromium_v8,V8 JavaScript库,3,34,2025-02-11T14:55:53.276+08:00
4369636,flutter_packages,OpenHarmony-TPC / flutter_packages,https://gitcode.com/openharmony-tpc/flutter_packages,,129,136,2025-06-19T17:51:38.794+08:00
4369624,flutter_flutter,OpenHarmony-TPC / flutter_flutter,https://gitcode.com/openharmony-tpc/flutter_flutter,,539,118,2025-08-12T11:51:54.530+08:00
4369593,flutter_samples,OpenHarmony-TPC / flutter_samples,https://gitcode.com/openharmony-tpc/flutter_samples,,53,44,2025-08-12T11:52:01.233+08:00
4369549,flutter_engine,OpenHarmony-TPC / flutter_engine,https://gitcode.com/openharmony-tpc/flutter_engine,,49,75,2025-08-12T11:51:44.227+08:00
4368596,chromium_third_party_libsync,OpenHarmony-TPC / chromium_third_party_libsync,https://gitcode.com/openharmony-tpc/chromium_third_party_libsync,第三方软件libsync,0,4,2025-02-17T14:37:58.801+08:00
